Index,Host,Color
Aquimarina_sp._ERC_38,unknown,#000000
unc._Aquimarina_sp._H4_Bin_Bin_177_sub_1,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._528,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._745,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._H1_Bin_MAXBIN__031_1,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._H4_Bin_MAXBIN__033_sub_1_1,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._L2_Bin_MAXBIN__015_sub_1,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._962,agarilytica/agarivorans,#3e4c9e
Aquimarina_agarivorans_HQM9,agarilytica/agarivorans,#3e4c9e
Aquimarina_agarilytica_ZC1_ZC1,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._3_767_J,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._R3_Bin_Bin_207_sub_1,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._640,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._4_555_2,agarilytica/agarivorans,#3e4c9e
unc._Aquimarina_sp._L2_Bin_Bin_90_1,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._L1_Bin_MAXBIN__027_sub_1,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._3_923_3Z,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._L4_Bin_Bin_133_1,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._932,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._L3_Bin_Bin_141_1,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._4_2025_3Z,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._664,sp. L2 Bin Bin 90_1,#ff9047
unc._Aquimarina_sp._568,unknown,#000000
Aquimarina_sp._sanger1,unknown,#000000
Aquimarina_rhabdastrellae_strain_RHTr2,unknown,#000000
unc._Aquimarina_sp._R3_Bin_Bin_100_sub_1,unknown,#000000
Aquimarina_hainanensis_KCTC_42423,unknown,#000000
Aquimarina_sp._TRL1,unknown,#000000
Aquimarina_brevivitae_DSM_17196,unknown,#000000
Aquimarina_intermedia_DSM_17527,unknown,#000000
Aquimarina_rhodophyticola_W85,unknown,#000000
unc._Aquimarina_sp._821_3Z,addita/latercula,#ff9ad4
unc._Aquimarina_sp._4_651_3Z,addita/latercula,#ff9ad4
Aquimarina_addita_JCM_17106,addita/latercula,#ff9ad4
unc._Aquimarina_sp._513,addita/latercula,#ff9ad4
unc._Aquimarina_sp._R3_Bin_Bin_72_1,addita/latercula,#ff9ad4
Aquimarina_sp._RZ0,addita/latercula,#ff9ad4
Aquimarina_mycalae_2201CG14_23,addita/latercula,#ff9ad4
unc._Aquimarina_sp._2_926,addita/latercula,#ff9ad4
Aquimarina_rubra_KCTC_52274,addita/latercula,#ff9ad4
Aquimarina_besae_SS2_1,addita/latercula,#ff9ad4
Aquimarina_litoralis_CCMR20,addita/latercula,#ff9ad4
Aquimarina_litoralis_JCM_15974,addita/latercula,#ff9ad4
unc._Aquimarina_sp._740,addita/latercula,#ff9ad4
unc._Aquimarina_sp._550,addita/latercula,#ff9ad4
Aquimarina_amphilecti_DSM_25232,addita/latercula,#ff9ad4
unc._Aquimarina_sp._X6,addita/latercula,#ff9ad4
Aquimarina_sp._Aq107,addita/latercula,#ff9ad4
Aquimarina_sp._LLG6339_5,addita/latercula,#ff9ad4
Aquimarina_latercula_DSM_2041,addita/latercula,#ff9ad4
Aquimarina_sp._MMG015,addita/latercula,#ff9ad4
Aquimarina_sp._AD1,addita/latercula,#ff9ad4
unc._Aquimarina_sp._2_563A_J,addita/latercula,#ff9ad4
unc._Aquimarina_sp._3_716,addita/latercula,#ff9ad4
unc._Aquimarina_sp._3_1138_G,addita/latercula,#ff9ad4
unc._Aquimarina_sp._490,addita/latercula,#ff9ad4
Aquimarina_sp._BL5,addita/latercula,#ff9ad4
unc._Aquimarina_sp._3_916_3Z,addita/latercula,#ff9ad4
unc._Aquimarina_sp._4R5_1_G,addita/latercula,#ff9ad4
unc._Aquimarina_sp._2_32,addita/latercula,#ff9ad4
Aquimarina_sp._2201CG5_10,addita/latercula,#ff9ad4
Aquimarina_sp._MMG016,addita/latercula,#ff9ad4
Aquimarina_sp._AU474,spongiae/mytili,#ff9ad4
unc._Aquimarina_sp._597,spongiae/mytili,#6a7500
unc._Aquimarina_sp._2_328,spongiae/mytili,#6a7500
Aquimarina_spongiae_DSM_22623,spongiae/mytili,#6a7500
Aquimarina_sp._sanger2,spongiae/mytili,#6a7500
Aquimarina_acroporae_D1M17,spongiae/mytili,#6a7500
unc._Aquimarina_sp._538_2_G,spongiae/mytili,#6a7500
unc._Aquimarina_sp._249,spongiae/mytili,#6a7500
Aquimarina_sp._U1_2,spongiae/mytili,#6a7500
Aquimarina_celericrescens_DT92,spongiae/mytili,#6a7500
unc._Aquimarina_sp._2_968,spongiae/mytili,#6a7500
unc._Aquimarina_sp._1030_1_G,spongiae/mytili,#6a7500
Aquimarina_gracilis_PSC32,spongiae/mytili,#6a7500
unc._Aquimarina_sp._679,spongiae/mytili,#6a7500
unc._Aquimarina_sp._2_536A,spongiae/mytili,#6a7500
unc._Aquimarina_sp._692,spongiae/mytili,#6a7500
unc._Aquimarina_sp._512_2,spongiae/mytili,#6a7500
unc._Aquimarina_sp._754,spongiae/mytili,#6a7500
unc._Aquimarina_sp._YR205_23_3Z,spongiae/mytili,#6a7500
unc._Aquimarina_sp._17,spongiae/mytili,#6a7500
unc._Aquimarina_sp._2_863,spongiae/mytili,#6a7500
Aquimarina_aggregata_2_322,spongiae/mytili,#6a7500
Aquimarina_aggregata_392,spongiae/mytili,#6a7500
Aquimarina_aggregata_RZW4_3_2,spongiae/mytili,#6a7500
Aquimarina_aggregata_H4_Bin_METABAT__156_1,spongiae/mytili,#6a7500
Aquimarina_sp._AD10,spongiae/mytili,#6a7500
unc._Aquimarina_sp._502,spongiae/mytili,#6a7500
unc._Aquimarina_sp._723_3Z,spongiae/mytili,#6a7500
unc._Aquimarina_sp._4_1007,spongiae/mytili,#6a7500
unc._Aquimarina_sp._2_156,spongiae/mytili,#6a7500
Aquimarina_penaris_2304DJ70_9,spongiae/mytili,#6a7500
Aquimarina_mytili_JCM_17454,spongiae/mytili,#6a7500
unc._Aquimarina_sp._3_198_2,spongiae/mytili,#6a7500
