Index,Host
Aquimarina_sp._ERC_38,Agarivorans/agarilytica
unc._Aquimarina_sp._H4_Bin_Bin_177_sub_1,Agarivorans/agarilytica
unc._Aquimarina_sp._528,Agarivorans/agarilytica
unc._Aquimarina_sp._745,Agarivorans/agarilytica
unc._Aquimarina_sp._H1_Bin_MAXBIN__031_1,Agarivorans/agarilytica
unc._Aquimarina_sp._H4_Bin_MAXBIN__033_sub_1_1,Agarivorans/agarilytica
unc._Aquimarina_sp._L2_Bin_MAXBIN__015_sub_1,Agarivorans/agarilytica
unc._Aquimarina_sp._962,Agarivorans/agarilytica
Aquimarina_agarivorans_HQM9,Agarivorans/agarilytica
Aquimarina_agarilytica_ZC1_ZC1,Agarivorans/agarilytica
unc._Aquimarina_sp._3_767_J,Agarivorans/agarilytica
unc._Aquimarina_sp._R3_Bin_Bin_207_sub_1,Agarivorans/agarilytica
unc._Aquimarina_sp._640,Agarivorans/agarilytica
unc._Aquimarina_sp._4_555_2,Agarivorans/agarilytica
unc._Aquimarina_sp._L2_Bin_Bin_90_1,Agarivorans/agarilytica
unc._Aquimarina_sp._L1_Bin_MAXBIN__027_sub_1,Agarivorans/agarilytica
unc._Aquimarina_sp._3_923_3Z,Agarivorans/agarilytica
unc._Aquimarina_sp._L4_Bin_Bin_133_1,Agarivorans/agarilytica
unc._Aquimarina_sp._932,Agarivorans/agarilytica
unc._Aquimarina_sp._L3_Bin_Bin_141_1,Agarivorans/agarilytica
unc._Aquimarina_sp._4_2025_3Z,Agarivorans/agarilytica
unc._Aquimarina_sp._664,Agarivorans/agarilytica
unc._Aquimarina_sp._568,rhabdastrellae/addita
Aquimarina_sp._sanger1,rhabdastrellae/addita
Aquimarina_rhabdastrellae_strain_RHTr2,rhabdastrellae/addita
unc._Aquimarina_sp._R3_Bin_Bin_100_sub_1,rhabdastrellae/addita
Aquimarina_hainanensis_KCTC_42423,rhabdastrellae/addita
Aquimarina_sp._TRL1,rhabdastrellae/addita
Aquimarina_brevivitae_DSM_17196,rhabdastrellae/addita
Aquimarina_intermedia_DSM_17527,rhabdastrellae/addita
Aquimarina_sp._W85,rhabdastrellae/addita
Aquimarina_rhodophyticola_W85,rhabdastrellae/addita
unc._Aquimarina_sp._821_3Z,rhabdastrellae/addita
unc._Aquimarina_sp._4_651_3Z,rhabdastrellae/addita
Aquimarina_addita_JCM_17106,rhabdastrellae/addita
unc._Aquimarina_sp._513,mycalae
unc._Aquimarina_sp._R3_Bin_Bin_72_1,mycalae
Aquimarina_sp._RZ0,mycalae
Aquimarina_sp._2201CG14_23,mycalae
Aquimarina_mycalae_2201CG14_23,mycalae
unc._Aquimarina_sp._2_926,rubra/latercula
Aquimarina_rubra_KCTC_52274,rubra/latercula
Aquimarina_sp._SS2_1,rubra/latercula
Aquimarina_besae_SS2_1,rubra/latercula
Aquimarina_litoralis_CCMR20,rubra/latercula
Aquimarina_litoralis_JCM_15974,rubra/latercula
unc._Aquimarina_sp._740,rubra/latercula
unc._Aquimarina_sp._550,rubra/latercula
Aquimarina_amphilecti_DSM_25232,rubra/latercula
unc._Aquimarina_sp._X6,rubra/latercula
Aquimarina_sp._Aq107,rubra/latercula
Aquimarina_sp._LLG6339_5,rubra/latercula
Aquimarina_latercula_DSM_2041,rubra/latercula
Aquimarina_sp._MMG015,rubra/latercula
Aquimarina_sp._AD1,rubra/latercula
unc._Aquimarina_sp._2_563A_J,rubra/latercula
unc._Aquimarina_sp._3_716,rubra/latercula
unc._Aquimarina_sp._3_1138_G,rubra/latercula
unc._Aquimarina_sp._490,rubra/latercula
Aquimarina_sp._BL5,rubra/latercula
unc._Aquimarina_sp._3_916_3Z,rubra/latercula
unc._Aquimarina_sp._4R5_1_G,rubra/latercula
unc._Aquimarina_sp._2_32,rubra/latercula
Aquimarina_sp._2201CG5_10,spongiae/mytili
Aquimarina_sp._MMG016,spongiae/mytili
Aquimarina_sp._AU474,spongiae/mytili
unc._Aquimarina_sp._597,spongiae/mytili
unc._Aquimarina_sp._2_328,spongiae/mytili
Aquimarina_spongiae_DSM_22623,spongiae/mytili
Aquimarina_sp._sanger2,spongiae/mytili
Aquimarina_acroporae_D1M17,spongiae/mytili
unc._Aquimarina_sp._538_2_G,spongiae/mytili
unc._Aquimarina_sp._249,spongiae/mytili
Aquimarina_sp._U1_2,spongiae/mytili
Aquimarina_celericrescens_DT92,spongiae/mytili
unc._Aquimarina_sp._2_968,spongiae/mytili
unc._Aquimarina_sp._1030_1_G,spongiae/mytili
Aquimarina_gracilis_PSC32,spongiae/mytili
unc._Aquimarina_sp._679,spongiae/mytili
unc._Aquimarina_sp._2_536A,spongiae/mytili
unc._Aquimarina_sp._692,spongiae/mytili
unc._Aquimarina_sp._512_2,spongiae/mytili
unc._Aquimarina_sp._754,spongiae/mytili
unc._Aquimarina_sp._YR205_23_3Z,spongiae/mytili
unc._Aquimarina_sp._17,spongiae/mytili
unc._Aquimarina_sp._2_863,spongiae/mytili
Aquimarina_aggregata_2_322,spongiae/mytili
Aquimarina_aggregata_392,spongiae/mytili
Aquimarina_aggregata_RZW4_3_2,spongiae/mytili
Aquimarina_aggregata_H4_Bin_METABAT__156_1,spongiae/mytili
Aquimarina_sp._AD10,spongiae/mytili
unc._Aquimarina_sp._502,spongiae/mytili
unc._Aquimarina_sp._723_3Z,spongiae/mytili
unc._Aquimarina_sp._4_1007,spongiae/mytili
unc._Aquimarina_sp._2_156,spongiae/mytili
Aquimarina_sp._2304DJ70_9,spongiae/mytili
Aquimarina_penaris_2304DJ70_9,spongiae/mytili
Aquimarina_mytili_JCM_17454,spongiae/mytili
unc._Aquimarina_sp._3_198_2,spongiae/mytili
unc._Aquimarina_sp._2_972,spongiae/mytili
unc._Aquimarina_sp._3_722_3Z,Algicola
unc._Aquimarina_sp._4_722_3Z,Algicola
unc._Aquimarina_sp._YR2_5_14_J,Algicola
Aquimarina_algicola_M625,Algicola
unc._Aquimarina_sp._4R_1,Algicola
unc._Aquimarina_sp._700,Algicola
unc._Aquimarina_sp._4_616,Algicola
unc._Aquimarina_sp._4_646_3Z,Algicola
unc._Aquimarina_sp._4R_2,Algicola
unc._Aquimarina_sp._187_3Z,Aquimarini/sediminis
Aquimarina_sp._2201CG1_2_11,Aquimarini/sediminis
unc._Aquimarina_sp._694,Aquimarini/sediminis
Aquimarina_aquimarini_Aq135,Aquimarini/sediminis
Aquimarina_sp._I32.4,Aquimarini/sediminis
Aquimarina_pacifica_SW150,Aquimarini/sediminis
Aquimarina_muelleri_SJ_Lobster_29,Aquimarini/sediminis
Aquimarina_muelleri_DSM_19832,Aquimarini/sediminis
Aquimarina_sediminis_w01,Aquimarini/sediminis
unc._Aquimarina_sp._637_3Z,Algiphila
unc._Aquimarina_sp._629_G,Algiphila
Aquimarina_algiphila_2_166,Algiphila
Aquimarina_algiphila_ZY116,Algiphila
Aquimarina_sp._AU119,Algiphila
Aquimarina_algiphila_2_91_1,Algiphila
Aquimarina_algiphila_4_60,Algiphila
Aquimarina_algiphila_4_617_3Z,Algiphila
Aquimarina_algiphila_4_66,Algiphila
Aquimarina_algiphila_4_58,Algiphila
Aquimarina_algiphila_M91,Algiphila
Aquimarina_longa_SW024,macrocephali/megaterium
unc._Aquimarina_sp._EG16N_Bin3,macrocephali/megaterium
Aquimarina_sp._MAR_2010_214,macrocephali/megaterium
Aquimarina_macrocephali_JAMB_N27,macrocephali/megaterium
Aquimarina_sp._Aq78,macrocephali/megaterium
Aquimarina_sp._AU58,macrocephali/megaterium
Aquimarina_megaterium_EL33,macrocephali/megaterium
Aquimarina_spinulae_Aq349,macrocephali/megaterium
Aquimarina_atlantica_22II_S11_z7,macrocephali/megaterium
Aquimarina_megaterium_XH134,macrocephali/megaterium
Aquimarina_sp._EL_43,macrocephali/megaterium
Aquimarina_sp._EL_32,macrocephali/megaterium
Aquimarina_sp._EL_35,macrocephali/megaterium
