Index,Host,Color
Aquimarina_sp._ERC_38,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._H4_Bin_Bin_177_sub_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._528,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._745,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._H1_Bin_MAXBIN__031_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._H4_Bin_MAXBIN__033_sub_1_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._L2_Bin_MAXBIN__015_sub_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._962,Agarivorans/agarilytica,#b30099
Aquimarina_agarivorans_HQM9,Agarivorans/agarilytica,#b30099
Aquimarina_agarilytica_ZC1_ZC1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._3_767_J,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._R3_Bin_Bin_207_sub_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._640,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._4_555_2,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._L2_Bin_Bin_90_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._L1_Bin_MAXBIN__027_sub_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._3_923_3Z,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._L4_Bin_Bin_133_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._932,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._L3_Bin_Bin_141_1,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._4_2025_3Z,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._664,Agarivorans/agarilytica,#b30099
unc._Aquimarina_sp._568,rhabdastrellae/addita,#3ae276
Aquimarina_sp._sanger1,rhabdastrellae/addita,#3ae276
Aquimarina_rhabdastrellae_strain_RHTr2,rhabdastrellae/addita,#3ae276
unc._Aquimarina_sp._R3_Bin_Bin_100_sub_1,rhabdastrellae/addita,#3ae276
Aquimarina_hainanensis_KCTC_42423,rhabdastrellae/addita,#3ae276
Aquimarina_sp._TRL1,rhabdastrellae/addita,#3ae276
Aquimarina_brevivitae_DSM_17196,rhabdastrellae/addita,#3ae276
Aquimarina_intermedia_DSM_17527,rhabdastrellae/addita,#3ae276
Aquimarina_sp._W85,rhabdastrellae/addita,#3ae276
Aquimarina_rhodophyticola_W85,rhabdastrellae/addita,#3ae276
unc._Aquimarina_sp._821_3Z,rhabdastrellae/addita,#3ae276
unc._Aquimarina_sp._4_651_3Z,rhabdastrellae/addita,#3ae276
Aquimarina_addita_JCM_17106,rhabdastrellae/addita,#3ae276
unc._Aquimarina_sp._513,mycalae,#cd0050
unc._Aquimarina_sp._R3_Bin_Bin_72_1,mycalae,#cd0050
Aquimarina_sp._RZ0,mycalae,#cd0050
Aquimarina_sp._2201CG14_23,mycalae,#cd0050
Aquimarina_mycalae_2201CG14_23,mycalae,#cd0050
unc._Aquimarina_sp._2_926,rubra/latercula,#006838
Aquimarina_rubra_KCTC_52274,rubra/latercula,#006838
Aquimarina_sp._SS2_1,rubra/latercula,#006838
Aquimarina_besae_SS2_1,rubra/latercula,#006838
Aquimarina_litoralis_CCMR20,rubra/latercula,#006838
Aquimarina_litoralis_JCM_15974,rubra/latercula,#006838
unc._Aquimarina_sp._740,rubra/latercula,#006838
unc._Aquimarina_sp._550,rubra/latercula,#006838
